LinkS;TranspS;Instance;Demands;OF;Formulation;Reach;OSNR;Cuts
2x;lowData;European_18_40;48;1p;0;1;1;0
2x;lowData;European_18_40;48;1p;23;1;1;0
2x;lowData;European_18_40;48;1p;3;1;1;0
2x;lowData;European_18_40;48;4;0;1;1;0
2x;lowData;European_18_40;48;4;23;1;1;0
2x;lowData;European_18_40;48;4;3;1;1;0
2x;lowData;European_18_40;48;10;0;1;1;0
2x;lowData;European_18_40;48;10;23;1;1;0
2x;lowData;European_18_40;48;10;3;1;1;0
2x;lowData;European_18_40;50;1p;0;1;1;0
2x;lowData;European_18_40;50;1p;23;1;1;0
2x;lowData;European_18_40;50;1p;3;1;1;0
2x;lowData;European_18_40;50;4;0;1;1;0
2x;lowData;European_18_40;50;4;23;1;1;0
2x;lowData;European_18_40;50;4;3;1;1;0
2x;lowData;European_18_40;50;10;0;1;1;0
2x;lowData;European_18_40;50;10;23;1;1;0
2x;lowData;European_18_40;50;10;3;1;1;0
2x;lowData;European_18_40;30;1p;0;1;1;0
2x;lowData;European_18_40;30;1p;23;1;1;0
2x;lowData;European_18_40;30;1p;3;1;1;0
2x;lowData;European_18_40;30;4;0;1;1;0
2x;lowData;European_18_40;30;4;23;1;1;0
2x;lowData;European_18_40;30;4;3;1;1;0
2x;lowData;European_18_40;30;10;0;1;1;0
2x;lowData;European_18_40;30;10;23;1;1;0
2x;lowData;European_18_40;30;10;3;1;1;0
2x;lowData;Spain_32_42;50;1p;0;1;1;0
2x;lowData;Spain_32_42;50;1p;23;1;1;0
2x;lowData;Spain_32_42;50;1p;3;1;1;0
2x;lowData;Spain_32_42;50;4;0;1;1;0
2x;lowData;Spain_32_42;50;4;23;1;1;0
2x;lowData;Spain_32_42;50;4;3;1;1;0
2x;lowData;Spain_32_42;50;10;0;1;1;0
2x;lowData;Spain_32_42;50;10;23;1;1;0
2x;lowData;Spain_32_42;50;10;3;1;1;0
2x;lowData;Spain_32_42;30;1p;0;1;1;0
2x;lowData;Spain_32_42;30;1p;23;1;1;0
2x;lowData;Spain_32_42;30;1p;3;1;1;0
2x;lowData;Spain_32_42;30;4;0;1;1;0
2x;lowData;Spain_32_42;30;4;23;1;1;0
2x;lowData;Spain_32_42;30;4;3;1;1;0
2x;lowData;Spain_32_42;30;10;0;1;1;0
2x;lowData;Spain_32_42;30;10;23;1;1;0
2x;lowData;Spain_32_42;30;10;3;1;1;0
2x;lowData;Nsfnet_14_21;56;1p;0;1;1;0
2x;lowData;Nsfnet_14_21;56;1p;23;1;1;0
2x;lowData;Nsfnet_14_21;56;1p;3;1;1;0
2x;lowData;Nsfnet_14_21;56;4;0;1;1;0
2x;lowData;Nsfnet_14_21;56;4;23;1;1;0
2x;lowData;Nsfnet_14_21;56;4;3;1;1;0
2x;lowData;Nsfnet_14_21;56;10;0;1;1;0
2x;lowData;Nsfnet_14_21;56;10;23;1;1;0
2x;lowData;Nsfnet_14_21;56;10;3;1;1;0
2x;lowData;Nsfnet_14_21;50;1p;0;1;1;0
2x;lowData;Nsfnet_14_21;50;1p;23;1;1;0
2x;lowData;Nsfnet_14_21;50;1p;3;1;1;0
2x;lowData;Nsfnet_14_21;50;4;0;1;1;0
2x;lowData;Nsfnet_14_21;50;4;23;1;1;0
2x;lowData;Nsfnet_14_21;50;4;3;1;1;0
2x;lowData;Nsfnet_14_21;50;10;0;1;1;0
2x;lowData;Nsfnet_14_21;50;10;23;1;1;0
2x;lowData;Nsfnet_14_21;50;10;3;1;1;0
2x;lowData;Nsfnet_14_21;30;1p;0;1;1;0
2x;lowData;Nsfnet_14_21;30;1p;23;1;1;0
2x;lowData;Nsfnet_14_21;30;1p;3;1;1;0
2x;lowData;Nsfnet_14_21;30;4;0;1;1;0
2x;lowData;Nsfnet_14_21;30;4;23;1;1;0
2x;lowData;Nsfnet_14_21;30;4;3;1;1;0
2x;lowData;Nsfnet_14_21;30;10;0;1;1;0
2x;lowData;Nsfnet_14_21;30;10;23;1;1;0
2x;lowData;Nsfnet_14_21;30;10;3;1;1;0
2x;lowData;NSF_9_13;36;1p;0;1;1;0
2x;lowData;NSF_9_13;36;1p;23;1;1;0
2x;lowData;NSF_9_13;36;1p;3;1;1;0
2x;lowData;NSF_9_13;36;4;0;1;1;0
2x;lowData;NSF_9_13;36;4;23;1;1;0
2x;lowData;NSF_9_13;36;4;3;1;1;0
2x;lowData;NSF_9_13;36;10;0;1;1;0
2x;lowData;NSF_9_13;36;10;23;1;1;0
2x;lowData;NSF_9_13;36;10;3;1;1;0
2x;lowData;NSF_9_13;50;1p;0;1;1;0
2x;lowData;NSF_9_13;50;1p;23;1;1;0
2x;lowData;NSF_9_13;50;1p;3;1;1;0
2x;lowData;NSF_9_13;50;4;0;1;1;0
2x;lowData;NSF_9_13;50;4;23;1;1;0
2x;lowData;NSF_9_13;50;4;3;1;1;0
2x;lowData;NSF_9_13;50;10;0;1;1;0
2x;lowData;NSF_9_13;50;10;23;1;1;0
2x;lowData;NSF_9_13;50;10;3;1;1;0
2x;lowData;NSF_9_13;45;1p;0;1;1;0
2x;lowData;NSF_9_13;45;1p;23;1;1;0
2x;lowData;NSF_9_13;45;1p;3;1;1;0
2x;lowData;NSF_9_13;45;4;0;1;1;0
2x;lowData;NSF_9_13;45;4;23;1;1;0
2x;lowData;NSF_9_13;45;4;3;1;1;0
2x;lowData;NSF_9_13;45;10;0;1;1;0
2x;lowData;NSF_9_13;45;10;23;1;1;0
2x;lowData;NSF_9_13;45;10;3;1;1;0
2x;lowData;NSF_9_13;63;1p;0;1;1;0
2x;lowData;NSF_9_13;63;1p;23;1;1;0
2x;lowData;NSF_9_13;63;1p;3;1;1;0
2x;lowData;NSF_9_13;63;4;0;1;1;0
2x;lowData;NSF_9_13;63;4;23;1;1;0
2x;lowData;NSF_9_13;63;4;3;1;1;0
2x;lowData;NSF_9_13;63;10;0;1;1;0
2x;lowData;NSF_9_13;63;10;23;1;1;0
2x;lowData;NSF_9_13;63;10;3;1;1;0
2x;lowData;NSF_9_13;30;1p;0;1;1;0
2x;lowData;NSF_9_13;30;1p;23;1;1;0
2x;lowData;NSF_9_13;30;1p;3;1;1;0
2x;lowData;NSF_9_13;30;4;0;1;1;0
2x;lowData;NSF_9_13;30;4;23;1;1;0
2x;lowData;NSF_9_13;30;4;3;1;1;0
2x;lowData;NSF_9_13;30;10;0;1;1;0
2x;lowData;NSF_9_13;30;10;23;1;1;0
2x;lowData;NSF_9_13;30;10;3;1;1;0
2x;lowData;Spain_21_35;50;1p;0;1;1;0
2x;lowData;Spain_21_35;50;1p;23;1;1;0
2x;lowData;Spain_21_35;50;1p;3;1;1;0
2x;lowData;Spain_21_35;50;4;0;1;1;0
2x;lowData;Spain_21_35;50;4;23;1;1;0
2x;lowData;Spain_21_35;50;4;3;1;1;0
2x;lowData;Spain_21_35;50;10;0;1;1;0
2x;lowData;Spain_21_35;50;10;23;1;1;0
2x;lowData;Spain_21_35;50;10;3;1;1;0
2x;lowData;Spain_21_35;30;1p;0;1;1;0
2x;lowData;Spain_21_35;30;1p;23;1;1;0
2x;lowData;Spain_21_35;30;1p;3;1;1;0
2x;lowData;Spain_21_35;30;4;0;1;1;0
2x;lowData;Spain_21_35;30;4;23;1;1;0
2x;lowData;Spain_21_35;30;4;3;1;1;0
2x;lowData;Spain_21_35;30;10;0;1;1;0
2x;lowData;Spain_21_35;30;10;23;1;1;0
2x;lowData;Spain_21_35;30;10;3;1;1;0
2x;lowData;Spain_30_56;50;1p;0;1;1;0
2x;lowData;Spain_30_56;50;1p;23;1;1;0
2x;lowData;Spain_30_56;50;1p;3;1;1;0
2x;lowData;Spain_30_56;50;4;0;1;1;0
2x;lowData;Spain_30_56;50;4;23;1;1;0
2x;lowData;Spain_30_56;50;4;3;1;1;0
2x;lowData;Spain_30_56;50;10;0;1;1;0
2x;lowData;Spain_30_56;50;10;23;1;1;0
2x;lowData;Spain_30_56;50;10;3;1;1;0
2x;lowData;Spain_30_56;30;1p;0;1;1;0
2x;lowData;Spain_30_56;30;1p;23;1;1;0
2x;lowData;Spain_30_56;30;1p;3;1;1;0
2x;lowData;Spain_30_56;30;4;0;1;1;0
2x;lowData;Spain_30_56;30;4;23;1;1;0
2x;lowData;Spain_30_56;30;4;3;1;1;0
2x;lowData;Spain_30_56;30;10;0;1;1;0
2x;lowData;Spain_30_56;30;10;23;1;1;0
2x;lowData;Spain_30_56;30;10;3;1;1;0
2x;lowData;6nodes9links_6_9;30-b;1p;0;1;1;0
2x;lowData;6nodes9links_6_9;30-b;1p;23;1;1;0
2x;lowData;6nodes9links_6_9;30-b;1p;3;1;1;0
2x;lowData;6nodes9links_6_9;30-b;4;0;1;1;0
2x;lowData;6nodes9links_6_9;30-b;4;23;1;1;0
2x;lowData;6nodes9links_6_9;30-b;4;3;1;1;0
2x;lowData;6nodes9links_6_9;30-b;10;0;1;1;0
2x;lowData;6nodes9links_6_9;30-b;10;23;1;1;0
2x;lowData;6nodes9links_6_9;30-b;10;3;1;1;0
2x;lowData;6nodes9links_6_9;50;1p;0;1;1;0
2x;lowData;6nodes9links_6_9;50;1p;23;1;1;0
2x;lowData;6nodes9links_6_9;50;1p;3;1;1;0
2x;lowData;6nodes9links_6_9;50;4;0;1;1;0
2x;lowData;6nodes9links_6_9;50;4;23;1;1;0
2x;lowData;6nodes9links_6_9;50;4;3;1;1;0
2x;lowData;6nodes9links_6_9;50;10;0;1;1;0
2x;lowData;6nodes9links_6_9;50;10;23;1;1;0
2x;lowData;6nodes9links_6_9;50;10;3;1;1;0
2x;lowData;6nodes9links_6_9;30;1p;0;1;1;0
2x;lowData;6nodes9links_6_9;30;1p;23;1;1;0
2x;lowData;6nodes9links_6_9;30;1p;3;1;1;0
2x;lowData;6nodes9links_6_9;30;4;0;1;1;0
2x;lowData;6nodes9links_6_9;30;4;23;1;1;0
2x;lowData;6nodes9links_6_9;30;4;3;1;1;0
2x;lowData;6nodes9links_6_9;30;10;0;1;1;0
2x;lowData;6nodes9links_6_9;30;10;23;1;1;0
2x;lowData;6nodes9links_6_9;30;10;3;1;1;0
2x;lowData;Spain_5_7;50;1p;0;1;1;0
2x;lowData;Spain_5_7;50;1p;23;1;1;0
2x;lowData;Spain_5_7;50;1p;3;1;1;0
2x;lowData;Spain_5_7;50;4;0;1;1;0
2x;lowData;Spain_5_7;50;4;23;1;1;0
2x;lowData;Spain_5_7;50;4;3;1;1;0
2x;lowData;Spain_5_7;50;10;0;1;1;0
2x;lowData;Spain_5_7;50;10;23;1;1;0
2x;lowData;Spain_5_7;50;10;3;1;1;0
2x;lowData;Spain_5_7;30;1p;0;1;1;0
2x;lowData;Spain_5_7;30;1p;23;1;1;0
2x;lowData;Spain_5_7;30;1p;3;1;1;0
2x;lowData;Spain_5_7;30;4;0;1;1;0
2x;lowData;Spain_5_7;30;4;23;1;1;0
2x;lowData;Spain_5_7;30;4;3;1;1;0
2x;lowData;Spain_5_7;30;10;0;1;1;0
2x;lowData;Spain_5_7;30;10;23;1;1;0
2x;lowData;Spain_5_7;30;10;3;1;1;0
2x;lowData;10nodes_22links_10_22;30-b;1p;0;1;1;0
2x;lowData;10nodes_22links_10_22;30-b;1p;23;1;1;0
2x;lowData;10nodes_22links_10_22;30-b;1p;3;1;1;0
2x;lowData;10nodes_22links_10_22;30-b;4;0;1;1;0
2x;lowData;10nodes_22links_10_22;30-b;4;23;1;1;0
2x;lowData;10nodes_22links_10_22;30-b;4;3;1;1;0
2x;lowData;10nodes_22links_10_22;30-b;10;0;1;1;0
2x;lowData;10nodes_22links_10_22;30-b;10;23;1;1;0
2x;lowData;10nodes_22links_10_22;30-b;10;3;1;1;0
2x;lowData;10nodes_22links_10_22;80;1p;0;1;1;0
2x;lowData;10nodes_22links_10_22;80;1p;23;1;1;0
2x;lowData;10nodes_22links_10_22;80;1p;3;1;1;0
2x;lowData;10nodes_22links_10_22;80;4;0;1;1;0
2x;lowData;10nodes_22links_10_22;80;4;23;1;1;0
2x;lowData;10nodes_22links_10_22;80;4;3;1;1;0
2x;lowData;10nodes_22links_10_22;80;10;0;1;1;0
2x;lowData;10nodes_22links_10_22;80;10;23;1;1;0
2x;lowData;10nodes_22links_10_22;80;10;3;1;1;0
2x;lowData;10nodes_22links_10_22;50;1p;0;1;1;0
2x;lowData;10nodes_22links_10_22;50;1p;23;1;1;0
2x;lowData;10nodes_22links_10_22;50;1p;3;1;1;0
2x;lowData;10nodes_22links_10_22;50;4;0;1;1;0
2x;lowData;10nodes_22links_10_22;50;4;23;1;1;0
2x;lowData;10nodes_22links_10_22;50;4;3;1;1;0
2x;lowData;10nodes_22links_10_22;50;10;0;1;1;0
2x;lowData;10nodes_22links_10_22;50;10;23;1;1;0
2x;lowData;10nodes_22links_10_22;50;10;3;1;1;0
2x;lowData;10nodes_22links_10_22;45;1p;0;1;1;0
2x;lowData;10nodes_22links_10_22;45;1p;23;1;1;0
2x;lowData;10nodes_22links_10_22;45;1p;3;1;1;0
2x;lowData;10nodes_22links_10_22;45;4;0;1;1;0
2x;lowData;10nodes_22links_10_22;45;4;23;1;1;0
2x;lowData;10nodes_22links_10_22;45;4;3;1;1;0
2x;lowData;10nodes_22links_10_22;45;10;0;1;1;0
2x;lowData;10nodes_22links_10_22;45;10;23;1;1;0
2x;lowData;10nodes_22links_10_22;45;10;3;1;1;0
2x;lowData;10nodes_22links_10_22;50-b;1p;0;1;1;0
2x;lowData;10nodes_22links_10_22;50-b;1p;23;1;1;0
2x;lowData;10nodes_22links_10_22;50-b;1p;3;1;1;0
2x;lowData;10nodes_22links_10_22;50-b;4;0;1;1;0
2x;lowData;10nodes_22links_10_22;50-b;4;23;1;1;0
2x;lowData;10nodes_22links_10_22;50-b;4;3;1;1;0
2x;lowData;10nodes_22links_10_22;50-b;10;0;1;1;0
2x;lowData;10nodes_22links_10_22;50-b;10;23;1;1;0
2x;lowData;10nodes_22links_10_22;50-b;10;3;1;1;0
2x;lowData;10nodes_22links_10_22;30;1p;0;1;1;0
2x;lowData;10nodes_22links_10_22;30;1p;23;1;1;0
2x;lowData;10nodes_22links_10_22;30;1p;3;1;1;0
2x;lowData;10nodes_22links_10_22;30;4;0;1;1;0
2x;lowData;10nodes_22links_10_22;30;4;23;1;1;0
2x;lowData;10nodes_22links_10_22;30;4;3;1;1;0
2x;lowData;10nodes_22links_10_22;30;10;0;1;1;0
2x;lowData;10nodes_22links_10_22;30;10;23;1;1;0
2x;lowData;10nodes_22links_10_22;30;10;3;1;1;0
2x;lowData;German_17_26;50;1p;0;1;1;0
2x;lowData;German_17_26;50;1p;23;1;1;0
2x;lowData;German_17_26;50;1p;3;1;1;0
2x;lowData;German_17_26;50;4;0;1;1;0
2x;lowData;German_17_26;50;4;23;1;1;0
2x;lowData;German_17_26;50;4;3;1;1;0
2x;lowData;German_17_26;50;10;0;1;1;0
2x;lowData;German_17_26;50;10;23;1;1;0
2x;lowData;German_17_26;50;10;3;1;1;0
2x;lowData;German_17_26;45;1p;0;1;1;0
2x;lowData;German_17_26;45;1p;23;1;1;0
2x;lowData;German_17_26;45;1p;3;1;1;0
2x;lowData;German_17_26;45;4;0;1;1;0
2x;lowData;German_17_26;45;4;23;1;1;0
2x;lowData;German_17_26;45;4;3;1;1;0
2x;lowData;German_17_26;45;10;0;1;1;0
2x;lowData;German_17_26;45;10;23;1;1;0
2x;lowData;German_17_26;45;10;3;1;1;0
2x;lowData;German_17_26;30;1p;0;1;1;0
2x;lowData;German_17_26;30;1p;23;1;1;0
2x;lowData;German_17_26;30;1p;3;1;1;0
2x;lowData;German_17_26;30;4;0;1;1;0
2x;lowData;German_17_26;30;4;23;1;1;0
2x;lowData;German_17_26;30;4;3;1;1;0
2x;lowData;German_17_26;30;10;0;1;1;0
2x;lowData;German_17_26;30;10;23;1;1;0
2x;lowData;German_17_26;30;10;3;1;1;0
2x;lowData;DT_12_20;72;1p;0;1;1;0
2x;lowData;DT_12_20;72;1p;23;1;1;0
2x;lowData;DT_12_20;72;1p;3;1;1;0
2x;lowData;DT_12_20;72;4;0;1;1;0
2x;lowData;DT_12_20;72;4;23;1;1;0
2x;lowData;DT_12_20;72;4;3;1;1;0
2x;lowData;DT_12_20;72;10;0;1;1;0
2x;lowData;DT_12_20;72;10;23;1;1;0
2x;lowData;DT_12_20;72;10;3;1;1;0
2x;lowData;DT_12_20;36;1p;0;1;1;0
2x;lowData;DT_12_20;36;1p;23;1;1;0
2x;lowData;DT_12_20;36;1p;3;1;1;0
2x;lowData;DT_12_20;36;4;0;1;1;0
2x;lowData;DT_12_20;36;4;23;1;1;0
2x;lowData;DT_12_20;36;4;3;1;1;0
2x;lowData;DT_12_20;36;10;0;1;1;0
2x;lowData;DT_12_20;36;10;23;1;1;0
2x;lowData;DT_12_20;36;10;3;1;1;0
2x;lowData;DT_12_20;66;1p;0;1;1;0
2x;lowData;DT_12_20;66;1p;23;1;1;0
2x;lowData;DT_12_20;66;1p;3;1;1;0
2x;lowData;DT_12_20;66;4;0;1;1;0
2x;lowData;DT_12_20;66;4;23;1;1;0
2x;lowData;DT_12_20;66;4;3;1;1;0
2x;lowData;DT_12_20;66;10;0;1;1;0
2x;lowData;DT_12_20;66;10;23;1;1;0
2x;lowData;DT_12_20;66;10;3;1;1;0
2x;lowData;DT_12_20;50;1p;0;1;1;0
2x;lowData;DT_12_20;50;1p;23;1;1;0
2x;lowData;DT_12_20;50;1p;3;1;1;0
2x;lowData;DT_12_20;50;4;0;1;1;0
2x;lowData;DT_12_20;50;4;23;1;1;0
2x;lowData;DT_12_20;50;4;3;1;1;0
2x;lowData;DT_12_20;50;10;0;1;1;0
2x;lowData;DT_12_20;50;10;23;1;1;0
2x;lowData;DT_12_20;50;10;3;1;1;0
2x;lowData;DT_12_20;30;1p;0;1;1;0
2x;lowData;DT_12_20;30;1p;23;1;1;0
2x;lowData;DT_12_20;30;1p;3;1;1;0
2x;lowData;DT_12_20;30;4;0;1;1;0
2x;lowData;DT_12_20;30;4;23;1;1;0
2x;lowData;DT_12_20;30;4;3;1;1;0
2x;lowData;DT_12_20;30;10;0;1;1;0
2x;lowData;DT_12_20;30;10;23;1;1;0
2x;lowData;DT_12_20;30;10;3;1;1;0
2x;efficient;European_18_40;48;1p;0;1;1;0
2x;efficient;European_18_40;48;1p;23;1;1;0
2x;efficient;European_18_40;48;1p;3;1;1;0
2x;efficient;European_18_40;48;4;0;1;1;0
2x;efficient;European_18_40;48;4;23;1;1;0
2x;efficient;European_18_40;48;4;3;1;1;0
2x;efficient;European_18_40;48;10;0;1;1;0
2x;efficient;European_18_40;48;10;23;1;1;0
2x;efficient;European_18_40;48;10;3;1;1;0
2x;efficient;European_18_40;50;1p;0;1;1;0
2x;efficient;European_18_40;50;1p;23;1;1;0
2x;efficient;European_18_40;50;1p;3;1;1;0
2x;efficient;European_18_40;50;4;0;1;1;0
2x;efficient;European_18_40;50;4;23;1;1;0
2x;efficient;European_18_40;50;4;3;1;1;0
2x;efficient;European_18_40;50;10;0;1;1;0
2x;efficient;European_18_40;50;10;23;1;1;0
2x;efficient;European_18_40;50;10;3;1;1;0
2x;efficient;European_18_40;30;1p;0;1;1;0
2x;efficient;European_18_40;30;1p;23;1;1;0
2x;efficient;European_18_40;30;1p;3;1;1;0
2x;efficient;European_18_40;30;4;0;1;1;0
2x;efficient;European_18_40;30;4;23;1;1;0
2x;efficient;European_18_40;30;4;3;1;1;0
2x;efficient;European_18_40;30;10;0;1;1;0
2x;efficient;European_18_40;30;10;23;1;1;0
2x;efficient;European_18_40;30;10;3;1;1;0
2x;efficient;Spain_32_42;50;1p;0;1;1;0
2x;efficient;Spain_32_42;50;1p;23;1;1;0
2x;efficient;Spain_32_42;50;1p;3;1;1;0
2x;efficient;Spain_32_42;50;4;0;1;1;0
2x;efficient;Spain_32_42;50;4;23;1;1;0
2x;efficient;Spain_32_42;50;4;3;1;1;0
2x;efficient;Spain_32_42;50;10;0;1;1;0
2x;efficient;Spain_32_42;50;10;23;1;1;0
2x;efficient;Spain_32_42;50;10;3;1;1;0
2x;efficient;Spain_32_42;30;1p;0;1;1;0
2x;efficient;Spain_32_42;30;1p;23;1;1;0
2x;efficient;Spain_32_42;30;1p;3;1;1;0
2x;efficient;Spain_32_42;30;4;0;1;1;0
2x;efficient;Spain_32_42;30;4;23;1;1;0
2x;efficient;Spain_32_42;30;4;3;1;1;0
2x;efficient;Spain_32_42;30;10;0;1;1;0
2x;efficient;Spain_32_42;30;10;23;1;1;0
2x;efficient;Spain_32_42;30;10;3;1;1;0
2x;efficient;Nsfnet_14_21;56;1p;0;1;1;0
2x;efficient;Nsfnet_14_21;56;1p;23;1;1;0
2x;efficient;Nsfnet_14_21;56;1p;3;1;1;0
2x;efficient;Nsfnet_14_21;56;4;0;1;1;0
2x;efficient;Nsfnet_14_21;56;4;23;1;1;0
2x;efficient;Nsfnet_14_21;56;4;3;1;1;0
2x;efficient;Nsfnet_14_21;56;10;0;1;1;0
2x;efficient;Nsfnet_14_21;56;10;23;1;1;0
2x;efficient;Nsfnet_14_21;56;10;3;1;1;0
2x;efficient;Nsfnet_14_21;50;1p;0;1;1;0
2x;efficient;Nsfnet_14_21;50;1p;23;1;1;0
2x;efficient;Nsfnet_14_21;50;1p;3;1;1;0
2x;efficient;Nsfnet_14_21;50;4;0;1;1;0
2x;efficient;Nsfnet_14_21;50;4;23;1;1;0
2x;efficient;Nsfnet_14_21;50;4;3;1;1;0
2x;efficient;Nsfnet_14_21;50;10;0;1;1;0
2x;efficient;Nsfnet_14_21;50;10;23;1;1;0
2x;efficient;Nsfnet_14_21;50;10;3;1;1;0
2x;efficient;Nsfnet_14_21;30;1p;0;1;1;0
2x;efficient;Nsfnet_14_21;30;1p;23;1;1;0
2x;efficient;Nsfnet_14_21;30;1p;3;1;1;0
2x;efficient;Nsfnet_14_21;30;4;0;1;1;0
2x;efficient;Nsfnet_14_21;30;4;23;1;1;0
2x;efficient;Nsfnet_14_21;30;4;3;1;1;0
2x;efficient;Nsfnet_14_21;30;10;0;1;1;0
2x;efficient;Nsfnet_14_21;30;10;23;1;1;0
2x;efficient;Nsfnet_14_21;30;10;3;1;1;0
2x;efficient;NSF_9_13;36;1p;0;1;1;0
2x;efficient;NSF_9_13;36;1p;23;1;1;0
2x;efficient;NSF_9_13;36;1p;3;1;1;0
2x;efficient;NSF_9_13;36;4;0;1;1;0
2x;efficient;NSF_9_13;36;4;23;1;1;0
2x;efficient;NSF_9_13;36;4;3;1;1;0
2x;efficient;NSF_9_13;36;10;0;1;1;0
2x;efficient;NSF_9_13;36;10;23;1;1;0
2x;efficient;NSF_9_13;36;10;3;1;1;0
2x;efficient;NSF_9_13;50;1p;0;1;1;0
2x;efficient;NSF_9_13;50;1p;23;1;1;0
2x;efficient;NSF_9_13;50;1p;3;1;1;0
2x;efficient;NSF_9_13;50;4;0;1;1;0
2x;efficient;NSF_9_13;50;4;23;1;1;0
2x;efficient;NSF_9_13;50;4;3;1;1;0
2x;efficient;NSF_9_13;50;10;0;1;1;0
2x;efficient;NSF_9_13;50;10;23;1;1;0
2x;efficient;NSF_9_13;50;10;3;1;1;0
2x;efficient;NSF_9_13;45;1p;0;1;1;0
2x;efficient;NSF_9_13;45;1p;23;1;1;0
2x;efficient;NSF_9_13;45;1p;3;1;1;0
2x;efficient;NSF_9_13;45;4;0;1;1;0
2x;efficient;NSF_9_13;45;4;23;1;1;0
2x;efficient;NSF_9_13;45;4;3;1;1;0
2x;efficient;NSF_9_13;45;10;0;1;1;0
2x;efficient;NSF_9_13;45;10;23;1;1;0
2x;efficient;NSF_9_13;45;10;3;1;1;0
2x;efficient;NSF_9_13;63;1p;0;1;1;0
2x;efficient;NSF_9_13;63;1p;23;1;1;0
2x;efficient;NSF_9_13;63;1p;3;1;1;0
2x;efficient;NSF_9_13;63;4;0;1;1;0
2x;efficient;NSF_9_13;63;4;23;1;1;0
2x;efficient;NSF_9_13;63;4;3;1;1;0
2x;efficient;NSF_9_13;63;10;0;1;1;0
2x;efficient;NSF_9_13;63;10;23;1;1;0
2x;efficient;NSF_9_13;63;10;3;1;1;0
2x;efficient;NSF_9_13;30;1p;0;1;1;0
2x;efficient;NSF_9_13;30;1p;23;1;1;0
2x;efficient;NSF_9_13;30;1p;3;1;1;0
2x;efficient;NSF_9_13;30;4;0;1;1;0
2x;efficient;NSF_9_13;30;4;23;1;1;0
2x;efficient;NSF_9_13;30;4;3;1;1;0
2x;efficient;NSF_9_13;30;10;0;1;1;0
2x;efficient;NSF_9_13;30;10;23;1;1;0
2x;efficient;NSF_9_13;30;10;3;1;1;0
2x;efficient;Spain_21_35;50;1p;0;1;1;0
2x;efficient;Spain_21_35;50;1p;23;1;1;0
2x;efficient;Spain_21_35;50;1p;3;1;1;0
2x;efficient;Spain_21_35;50;4;0;1;1;0
2x;efficient;Spain_21_35;50;4;23;1;1;0
2x;efficient;Spain_21_35;50;4;3;1;1;0
2x;efficient;Spain_21_35;50;10;0;1;1;0
2x;efficient;Spain_21_35;50;10;23;1;1;0
2x;efficient;Spain_21_35;50;10;3;1;1;0
2x;efficient;Spain_21_35;30;1p;0;1;1;0
2x;efficient;Spain_21_35;30;1p;23;1;1;0
2x;efficient;Spain_21_35;30;1p;3;1;1;0
2x;efficient;Spain_21_35;30;4;0;1;1;0
2x;efficient;Spain_21_35;30;4;23;1;1;0
2x;efficient;Spain_21_35;30;4;3;1;1;0
2x;efficient;Spain_21_35;30;10;0;1;1;0
2x;efficient;Spain_21_35;30;10;23;1;1;0
2x;efficient;Spain_21_35;30;10;3;1;1;0
2x;efficient;Spain_30_56;50;1p;0;1;1;0
2x;efficient;Spain_30_56;50;1p;23;1;1;0
2x;efficient;Spain_30_56;50;1p;3;1;1;0
2x;efficient;Spain_30_56;50;4;0;1;1;0
2x;efficient;Spain_30_56;50;4;23;1;1;0
2x;efficient;Spain_30_56;50;4;3;1;1;0
2x;efficient;Spain_30_56;50;10;0;1;1;0
2x;efficient;Spain_30_56;50;10;23;1;1;0
2x;efficient;Spain_30_56;50;10;3;1;1;0
2x;efficient;Spain_30_56;30;1p;0;1;1;0
2x;efficient;Spain_30_56;30;1p;23;1;1;0
2x;efficient;Spain_30_56;30;1p;3;1;1;0
2x;efficient;Spain_30_56;30;4;0;1;1;0
2x;efficient;Spain_30_56;30;4;23;1;1;0
2x;efficient;Spain_30_56;30;4;3;1;1;0
2x;efficient;Spain_30_56;30;10;0;1;1;0
2x;efficient;Spain_30_56;30;10;23;1;1;0
2x;efficient;Spain_30_56;30;10;3;1;1;0
2x;efficient;6nodes9links_6_9;30-b;1p;0;1;1;0
2x;efficient;6nodes9links_6_9;30-b;1p;23;1;1;0
2x;efficient;6nodes9links_6_9;30-b;1p;3;1;1;0
2x;efficient;6nodes9links_6_9;30-b;4;0;1;1;0
2x;efficient;6nodes9links_6_9;30-b;4;23;1;1;0
2x;efficient;6nodes9links_6_9;30-b;4;3;1;1;0
2x;efficient;6nodes9links_6_9;30-b;10;0;1;1;0
2x;efficient;6nodes9links_6_9;30-b;10;23;1;1;0
2x;efficient;6nodes9links_6_9;30-b;10;3;1;1;0
2x;efficient;6nodes9links_6_9;50;1p;0;1;1;0
2x;efficient;6nodes9links_6_9;50;1p;23;1;1;0
2x;efficient;6nodes9links_6_9;50;1p;3;1;1;0
2x;efficient;6nodes9links_6_9;50;4;0;1;1;0
2x;efficient;6nodes9links_6_9;50;4;23;1;1;0
2x;efficient;6nodes9links_6_9;50;4;3;1;1;0
2x;efficient;6nodes9links_6_9;50;10;0;1;1;0
2x;efficient;6nodes9links_6_9;50;10;23;1;1;0
2x;efficient;6nodes9links_6_9;50;10;3;1;1;0
2x;efficient;6nodes9links_6_9;30;1p;0;1;1;0
